Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
India,IN-KUR,Kurukshetra,267,1976,4,108,29.58,76.51,29.75,76.75,168.233,1.098,26.613,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand II a
India,IN-KUR,Kurukshetra,267,1976,4,108,29.58,76.51,29.75,76.75,208.837,1.364,,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand III a
India,IN-KUR,Kurukshetra,267,1976,4,109,29.58,76.51,29.75,76.75,153.87,1.005,,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand I a
India,IN-KUR,Kurukshetra,267,1976,4,117,29.58,76.51,29.75,76.75,150,0.979,28.443,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand II a
India,IN-KUR,Kurukshetra,267,1976,4,117,29.58,76.51,29.75,76.75,191.84,1.253,,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand III a
India,IN-KUR,Kurukshetra,267,1976,4,119,29.58,76.51,29.75,76.75,141.34,0.923,,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand I a
India,IN-KUR,Kurukshetra,267,1976,5,126,29.58,76.51,29.75,76.75,129,0.842,,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand I a
India,IN-KUR,Kurukshetra,267,1976,5,127,29.58,76.51,29.75,76.75,176.316,1.151,,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand III a
India,IN-KUR,Kurukshetra,267,1976,5,133,29.58,76.51,29.75,76.75,113.48,0.741,,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand I a
India,IN-KUR,Kurukshetra,267,1976,5,133,29.58,76.51,29.75,76.75,128.7,0.84,30.58,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand II a
India,IN-KUR,Kurukshetra,267,1976,5,137,29.58,76.51,29.75,76.75,200.825,1.311,,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand III a
India,IN-KUR,Kurukshetra,267,1976,5,138,29.58,76.51,29.75,76.75,180.119,1.176,,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand I a
